number_of_elements,capacity,max_weight,min_weight,mean_weight,median_weight,std_weight,weight_range,max_profit,min_profit,mean_profit,median_profit,std_profit,profit_range,renting_ratio,mean_weight_profit_ratio,median_weight_profit_ratio,capacity_mean_weight_ratio,capacity_median_weight_ratio,capacity_std_weight_ratio,std_weight_profit_ratio,weight_profit_correlation,solution_time,ram,cpu_cores,peak_memory,optimality_gap,solution_time_bin,peak_memory_bin,optimality_gap_bin
1363,40012301.0,99898279.5,7956.3,49862724.37,49347188.0,29008469.07,99890323.2,99919844.5,353966.2,50101185.04,50554760.9,28416261.84,99565878.3,0.000586,0.99524,0.976114,0.802449,0.810832,1.379332,1.02084,0.003296,332.829,8,8,337920,0.0,0,1,0
68,88735.6,9725.1,32.1,4873.713235,5662.2,3239.135636,9693.0,9892.5,102.9,4663.501471,4323.1,2866.364054,9789.6,0.279819,1.045076,1.309755,18.20698,15.671576,27.394839,1.13005,0.001981,209.066,8,8,362496,0.0,0,1,0
1248,69910.6,9997.8,4.1,4950.323397,4867.05,2920.948079,9993.7,9969.8,5.8,5055.281971,5088.55,2893.969394,9964.0,0.011081,0.979238,0.956471,14.122431,14.36406,23.934215,1.009322,0.002397,3430.913,8,8,370688,0.0,4,1,0
933,72565856.2,99698044.3,17147.7,49392223.78,48046892.2,28950356.84,99680896.6,99403216.4,97496.8,49129785.11,48145412.6,29068560.19,99305719.6,0.001583,1.005342,0.997954,1.469176,1.510313,2.506562,0.995934,-0.028215,755.003,8,8,417792,0.0,1,1,0
85,5045562.0,99068429.4,343382.0,43791819.99,37598477.4,27851486.46,98725047.4,99751720.7,443862.5,51576309.58,54284455.5,31550640.46,99307858.2,0.001151,0.849069,0.69262,0.115217,0.134196,0.18116,0.882755,0.201285,5.432,8,8,446464,0.0,0,1,0
400,105507014.6,60264645.99,0.900658,7669681.557,815538.9552,14014921.98,60264645.09,58008037.41,2.024719,7785944.074,829639.0484,14306024.14,58008035.38,0.033877,0.985068,0.983005,13.756375,129.370907,7.528191,0.979652,0.982545,1153.291,8,8,477184,0.0,1,1,0
600,10494680420.0,6760174139.0,1.789556,4097791282.0,4962008103.0,2098162762.0,6760174138.0,6936388969.0,0.929872,4063540231.0,4911741612.0,2088010689.0,6936388968.0,0.004304,1.008429,1.010234,2.561058,2.115007,5.001843,1.004862,0.94722,1128.386,8,8,485376,0.0,1,1,0
159,72802.3,9939.1,6.4,5042.547799,4799.9,2843.514029,9932.7,9990.3,74.6,5148.976101,5625.0,2914.457947,9915.7,0.088926,0.97933,0.853316,14.437602,15.167462,25.602933,0.975658,0.02874,459.924,8,8,509952,0.0,0,1,0
532,18027908.0,99982931.3,481435.4,48202981.53,47335955.9,28843573.26,99501495.9,99985281.6,41796.2,50741096.88,50363446.9,27402466.44,99943485.4,0.000668,0.949979,0.939887,0.374,0.38085,0.625023,1.05259,-0.001949,33.457,8,8,518144,0.0,0,1,0
1232,79351.2,9989.7,6.7,5032.406981,5029.6,2922.320625,9983.0,9993.3,6.7,4989.353166,4942.9,2892.649521,9986.6,0.012909,1.008629,1.01754,15.768041,15.776841,27.153489,1.010257,-0.026126,3416.674,8,8,612352,0.0,4,1,0
400,114823987.4,55673488.64,0.920441,5157531.819,105733.903,11969212.69,55673487.72,54569086.97,0.983262,5171507.664,100167.2733,12026845.29,54569085.99,0.055508,0.997298,1.055573,22.26336,1085.971331,9.593278,0.995208,0.988082,1204.867,8,8,737280,0.000450498,1,2,2
400,106688208.9,60633254.38,1.870239,15457020.55,6976256.893,17281054.53,60633252.51,62229948.6,1.095187,15520548.12,7169674.038,17395457.52,62229947.5,0.017185,0.995907,0.973023,6.902249,15.293045,6.173709,0.993423,0.979165,1045.127,8,8,1126400,0.0,1,3,0
1200,976252.7832,631370.1718,0.893229,347804.2705,468443.4298,231646.2266,631369.2785,639270.4942,1.035707,350703.0726,474554.2636,233188.6375,639269.4585,0.00232,0.991734,0.987123,2.806903,2.084036,4.214413,0.993386,0.966418,2417.894,8,8,1218560,0.000347533,3,3,1
840,88451965.7,99891129.6,42615.6,50392105.9,48810597.95,29220996.95,99848514.0,99981560.1,169526.5,50159866.84,48318372.0,28953663.88,99812033.6,0.002099,1.00463,1.010187,1.755274,1.812147,3.027,1.009233,-0.037218,966.372,8,8,1226752,0.0,1,4,0
1106,78553.7,9963.4,16.3,5232.724503,5358.05,2901.91075,9947.1,9998.7,5.9,4928.428119,4767.25,2852.544794,9992.8,0.014411,1.061743,1.123929,15.012008,14.660875,27.069647,1.017306,0.034828,3067.778,8,8,1243136,0.0,4,4,0
282,42497314.0,99024095.3,517823.3,50220695.45,48379954.8,27846123.28,98506272.0,99804115.3,162105.3,49053464.58,49161813.15,28708745.84,99642010.0,0.003072,1.023795,0.984096,0.846211,0.878407,1.526148,0.969953,0.026693,76.373,8,8,1259520,0.0,0,4,0
