number_of_elements,capacity,max_weight,min_weight,mean_weight,median_weight,std_weight,weight_range,max_profit,min_profit,mean_profit,median_profit,std_profit,profit_range,renting_ratio,mean_weight_profit_ratio,median_weight_profit_ratio,capacity_mean_weight_ratio,capacity_median_weight_ratio,capacity_std_weight_ratio,std_weight_profit_ratio,weight_profit_correlation,solution_time,ram,cpu_cores,peak_memory,optimality_gap,solution_time_bin,peak_memory_bin,optimality_gap_bin
1363,40012301.0,99898279.5,7956.3,49862724.37,49347188.0,29008469.07,99890323.2,99919844.5,353966.2,50101185.04,50554760.9,28416261.84,99565878.3,0.000586,0.99524,0.976114,0.802449,0.810832,1.379332,1.02084,0.003296,0.021051884,8,32,188416,0.0,0,0,0.0
68,88735.6,9725.1,32.1,4873.713235,5662.2,3239.135636,9693.0,9892.5,102.9,4663.501471,4323.1,2866.364054,9789.6,0.279819,1.045076,1.309755,18.20698,15.671576,27.394839,1.13005,0.001981,0.004359245,8,32,194560,0.0,0,0,0.0
1248,69910.6,9997.8,4.1,4950.323397,4867.05,2920.948079,9993.7,9969.8,5.8,5055.281971,5088.55,2893.969394,9964.0,0.011081,0.979238,0.956471,14.122431,14.36406,23.934215,1.009322,0.002397,0.302310705,8,32,194560,0.0,0,0,0.0
933,72565856.2,99698044.3,17147.7,49392223.78,48046892.2,28950356.84,99680896.6,99403216.4,97496.8,49129785.11,48145412.6,29068560.19,99305719.6,0.001583,1.005342,0.997954,1.469176,1.510313,2.506562,0.995934,-0.028215,0.042040825,8,32,251596,0.0,0,1,0.0
85,5045562.0,99068429.4,343382.0,43791819.99,37598477.4,27851486.46,98725047.4,99751720.7,443862.5,51576309.58,54284455.5,31550640.46,99307858.2,0.001151,0.849069,0.69262,0.115217,0.134196,0.18116,0.882755,0.201285,0.000710726,8,32,251596,0.0,0,1,0.0
400,105507014.6,60264645.99,0.900658,7669681.557,815538.9552,14014921.98,60264645.09,58008037.41,2.024719,7785944.074,829639.0484,14306024.14,58008035.38,0.033877,0.985068,0.983005,13.756375,129.370907,7.528191,0.979652,0.982545,0.659893751,8,32,251596,0.0,0,1,0.0
600,10494680420.0,6760174139.0,1.789556,4097791282.0,4962008103.0,2098162762.0,6760174138.0,6936388969.0,0.929872,4063540231.0,4911741612.0,2088010689.0,6936388968.0,0.004304,1.008429,1.010234,2.561058,2.115007,5.001843,1.004862,0.94722,300.0041597,8,32,251596,,4,1,
159,72802.3,9939.1,6.4,5042.547799,4799.9,2843.514029,9932.7,9990.3,74.6,5148.976101,5625.0,2914.457947,9915.7,0.088926,0.97933,0.853316,14.437602,15.167462,25.602933,0.975658,0.02874,0.005021334,8,32,251596,0.0,0,1,0.0
532,18027908.0,99982931.3,481435.4,48202981.53,47335955.9,28843573.26,99501495.9,99985281.6,41796.2,50741096.88,50363446.9,27402466.44,99943485.4,0.000668,0.949979,0.939887,0.374,0.38085,0.625023,1.05259,-0.001949,0.01273632,8,32,251596,0.0,0,1,0.0
1232,79351.2,9989.7,6.7,5032.406981,5029.6,2922.320625,9983.0,9993.3,6.7,4989.353166,4942.9,2892.649521,9986.6,0.012909,1.008629,1.01754,15.768041,15.776841,27.153489,1.010257,-0.026126,0.209113121,8,32,430972,0.0,0,4,0.0
