number_of_elements,capacity,max_weight,min_weight,mean_weight,median_weight,std_weight,weight_range,max_profit,min_profit,mean_profit,median_profit,std_profit,profit_range,renting_ratio,mean_weight_profit_ratio,median_weight_profit_ratio,capacity_mean_weight_ratio,capacity_median_weight_ratio,capacity_std_weight_ratio,std_weight_profit_ratio,weight_profit_correlation,total_profit,solution_time,ram,cpu_cores,peak_memory,gurobi,optimality_gap,solution_time_bin,peak_memory_bin,optimality_gap_bin
600,934362.2352,717903.622,3.048906,139029.8794,105197.4299,148074.8048,717900.5731,714344.9861,0.955763,138362.2531,104954.9576,146088.0132,714344.0304,0.011255,1.004825,1.00231,6.720586,8.881987,6.310069,1.0136,0.976401,590775.5992,0.00013,128,8,4096,598064.0939,1.21868120396116,1,0,0
400,1009262.202,652222.2209,1.049505,87284.32303,14298.8975,149273.5232,652221.1714,587355.3745,1.011833,86946.07754,14397.66465,148875.5379,587354.3626,0.02902,1.00389,0.99314,11.562926,70.583218,6.76116,1.002673,0.983081,700289.6977,8.4e-05,128,8,4096,702402.3723,0.3007783975845816,1,0,0
800,100278210.6,63681881.99,0.982667,40076117.46,48411942.13,20527284.37,63681881.01,63573657.52,1.022499,40020304.19,48649650.81,20503070.21,63573656.5,0.003132,1.001395,0.995114,2.502194,2.071353,4.885118,1.001181,0.953945,64260669.93,0.000184,128,8,4096,69479026.27,7.510692967574309,2,0,0
600,110385870.3,64488038.89,1.068424,44820298.13,48737241.16,15679752.22,64488037.82,63904229.65,0.799336,45164189.34,49791096.6,15712145.58,63904228.85,0.004074,0.992386,0.978834,2.462854,2.264918,7.040026,0.997938,0.911963,74730653.05,0.000135,128,8,4096,77160287.63,3.148814830305731,1,0,0
800,842749.147,620401.0483,0.930513,90279.13282,15939.51096,150826.0194,620400.1178,617359.6098,1.170928,90533.2937,16668.8838,150132.4134,617358.4389,0.011636,0.997193,0.956243,9.334927,52.871707,5.587558,1.00462,0.984142,588285.5491,0.000182,128,8,4096,588677.0314,0.066502051059985,2,0,0
400,887456.5033,664998.0531,1.862986,351445.11,473678.9376,234486.0552,664996.1901,659479.2473,1.709879,346802.2388,466859.4992,230837.3822,659477.5374,0.006397,1.013388,1.014607,2.525164,1.87354,3.784688,1.015806,0.965286,621817.1201,8.6e-05,128,8,4096,725099.4319,14.243882598192949,1,0,0
600,1067802.172,604400.011,4.335693,155681.8187,71421.33729,172118.6775,604395.6753,644879.4358,1.625984,157000.483,73012.79578,174701.7672,644877.8099,0.011335,0.991601,0.978203,6.858875,14.950745,6.203872,0.985214,0.978548,719960.6869,0.000137,128,8,4096,721870.1764,0.2645197935067407,1,0,0
600,110841786.5,80983083.57,2.667118,19129583.75,12439914.24,16650009.04,80983080.9,72446500.91,2.128802,19035703.52,12402155.31,16616389.03,72446498.78,0.009705,1.004932,1.003045,5.79426,8.910173,6.657161,1.002023,0.977269,73928702.84,0.000131,128,8,4096,75855661.78,2.540296788377709,1,0,0
600,10746542515.0,7056149137.0,0.928808,1391575149.0,1058234235.0,1467326492.0,7056149136.0,7313746267.0,4.258063,1380594640.0,1059031580.0,1458326959.0,7313746263.0,0.012973,1.007953,0.999247,7.722574,10.155164,7.323893,1.006171,0.980364,7214148602.0,0.000131,128,8,4096,7298648015.0,1.157740623007698,1,0,0
800,1045762.055,719292.757,5.886989,158325.7496,110831.4305,143805.6969,719286.87,731568.1372,2.231503,158835.2718,111131.3814,143475.5032,731565.9057,0.00823,0.996792,0.997301,6.605129,9.435609,7.272049,1.002301,0.977648,698101.9521,0.000178,128,8,4096,704712.3971,0.9380344417386368,2,0,0
600,94033435.86,63238404.78,2.762469,17507184.65,11466310.01,17561372.46,63238402.02,62651491.32,2.809189,17315391.12,11196370.21,17416474.82,62651488.51,0.009051,1.011076,1.02411,5.371134,8.200845,5.354561,1.00832,0.982465,64641602.08,0.00013,128,8,4096,64684490.27,0.0663036685007258,1,0,0
800,872184.7763,678860.9035,0.964551,163524.9342,80600.89286,174475.5928,678859.9389,608771.993,2.791828,162083.0588,81510.24833,173222.7275,608769.2012,0.006726,1.008896,0.988844,5.33365,10.821031,4.998893,1.007233,0.982724,585662.0831,0.000179,128,8,4096,595938.8403,1.7244650801459085,2,0,0
1000,958715.5036,644073.7623,0.907902,351361.5683,475866.2575,233861.874,644072.8544,636062.7534,0.914766,350078.2126,469696.9254,233064.4394,636061.8386,0.002739,1.003666,1.013135,2.728572,2.014674,4.099495,1.003422,0.968642,556101.6269,0.00023,128,8,4096,651650.9413,14.662652709345505,3,0,0
400,10273727509.0,6107252770.0,4.305206,1362940696.0,616653778.8,1700453199.0,6107252766.0,6289454744.0,0.982939,1347359219.0,633318627.0,1663323589.0,6289454743.0,0.019063,1.011564,0.973686,7.537912,16.660447,6.041758,1.022323,0.980763,7139038983.0,8.7e-05,128,8,4096,7224957332.0,1.1891883239152117,1,0,0
400,92308607.67,64640598.79,1.890824,15649154.25,6922869.821,17597553.08,64640596.9,63876888.49,10.896933,15564115.33,6954536.398,17366015.27,63876877.59,0.014827,1.005464,0.995447,5.898632,13.333864,5.245537,1.013333,0.980478,63689492.54,8.5e-05,128,8,4096,64566926.2,1.3589521937006874,1,0,0
800,1293753.448,611225.7308,1.185814,84212.42619,18651.1034,142744.3129,611224.545,639092.1524,1.09353,84715.68858,18378.39894,143885.874,639091.0589,0.01909,0.994059,1.014838,15.362976,69.366054,9.063433,0.992066,0.987607,949046.2602,0.000182,128,8,4096,950390.4675,0.1414373718978835,2,0,0
600,10335534780.0,7323604477.0,4.752842,1677365230.0,1167154315.0,1642561903.0,7323604472.0,7527477281.0,1.053037,1666558754.0,1194438450.0,1633301610.0,7527477280.0,0.010336,1.006484,0.977157,6.161768,8.855328,6.292326,1.00567,0.978141,7112924546.0,0.000132,128,8,4096,7288300479.0,2.406266502119609,1,0,0
1200,93789662.89,59513684.51,1.080526,6867370.636,421088.6793,13439637.66,59513683.43,61911193.98,1.052929,6935001.443,424676.3347,13630027.55,61911192.93,0.01127,0.990248,0.991552,13.657289,222.731381,6.978586,0.986032,0.98823,63909242.84,0.000284,128,8,4096,63927531.18,0.0286079247273007,3,0,0
1200,111060694.1,64819688.53,0.90085,15503906.0,6967980.949,17292128.45,64819687.63,65286298.56,1.999093,15459501.15,6919433.66,17212001.16,65286296.56,0.005987,1.002872,1.007016,7.163401,15.93872,6.422616,1.004655,0.981862,75128868.74,0.000291,128,8,4096,75611478.36,0.6382756037412899,4,0,0
1000,10062414677.0,6051455485.0,0.986627,694182908.2,42939310.72,1370651298.0,6051455484.0,6143893032.0,0.978317,693818277.2,42225950.82,1367949518.0,6143893031.0,0.014503,1.000526,1.016894,14.495336,234.340387,7.341338,1.001975,0.98751,6705121119.0,0.000234,128,8,4096,6756630630.0,0.7623549934976984,3,0,0
1200,90196968.72,61927586.82,1.008375,5978724.381,1149194.912,12256229.28,61927585.81,65576609.49,0.909127,6032414.971,1143133.421,12550090.54,65576608.58,0.01246,0.9911,1.005303,15.086323,78.487094,7.359276,0.976585,0.986882,62101168.14,0.000281,128,8,4096,62188809.33,0.1409275896165443,3,0,0
400,11127135643.0,6193364580.0,0.950452,994279742.0,213243181.0,1540546588.0,6193364579.0,6222220942.0,1.009827,1008931480.0,225376426.9,1562484841.0,6222220941.0,0.027572,0.985478,0.946165,11.191152,52.180499,7.222849,0.985959,0.978838,8006507738.0,8.8e-05,128,8,4096,8060179876.0,0.6658925585496449,1,0,0
1000,108619104.2,61138155.71,2.05863,6181512.252,226509.5283,13221924.37,61138153.66,61816217.2,1.066567,6137818.692,222909.3631,13051351.6,61816216.13,0.017697,1.007119,1.016151,17.571607,479.534371,8.215075,1.013069,0.988574,76459141.36,0.000231,128,8,4096,76460292.5,0.0015055396237211,3,0,0
1200,122373914.7,61430800.0,0.920658,6055349.376,205057.0,12920273.7,61430799.08,58523200.0,1.8005,6043122.566,209045.0,12810707.69,58523198.2,0.016875,1.002023,0.980923,20.209224,596.779991,9.471465,1.008553,0.989023,86405023.35,0.00028,128,8,4096,86790982.88,0.4447000335664376,3,0,0
747,9761.7,99895800.0,35552.8,50787373.63,52424700.0,29875369.5,99860247.2,99978900.0,74009.9,49768569.36,49604700.0,29555171.91,99904890.1,0.0,1.020471,1.056849,0.000192,0.000186,0.000327,1.010834,-0.015677,15.441687,0.000167,128,8,4096,74009.9,99.97913564671754,2,0,4
400,102436033.0,63564700.0,2.91355,17428666.16,11617200.0,17327914.16,63564697.09,60084400.0,2.78769,17237092.83,11290600.0,17021559.17,60084397.21,0.014857,1.011114,1.028927,5.877445,8.817618,5.911619,1.017998,0.978326,69506274.4,8.4e-05,128,8,4096,70377350.0,1.237721511253257,1,0,0
1363,40012301.0,99898300.0,7956.3,49862723.83,49347200.0,29008468.44,99890343.7,99919800.0,353966.0,50101185.51,50554800.0,28416261.94,99565834.0,0.000586,0.99524,0.976113,0.802449,0.810832,1.379332,1.02084,0.003296,185435.6517,0.000323,128,8,4096,353966.0,47.61201592808349,4,0,2
115,42935520.3,99994800.0,353515.0,50734263.87,55130600.0,28980467.84,99641285.0,99852500.0,358355.0,50925716.24,51313500.0,28631016.85,99494145.0,0.007331,0.996241,1.074388,0.846283,0.778797,1.481533,1.012205,0.122109,379958.071,2.2e-05,128,8,4096,1028278.0,63.0490907128228,0,0,3
400,105507014.6,60264600.0,0.900658,7669680.856,815539.0,14014920.17,60264599.1,58008000.0,2.02472,7785942.959,829639.0,14306022.56,58007997.98,0.033877,0.985068,0.983005,13.756376,129.3709,7.528192,0.979652,0.982545,77477831.35,0.0001,128,8,4096,77948642.1,0.6040012209526354,1,0,0
583,76143.7,9966.8,39.0,4965.585077,4831.1,2875.757262,9927.8,9989.8,18.1,4943.601715,5056.2,2756.547104,9971.7,0.026419,1.004447,0.95548,15.334286,15.761152,26.477791,1.043246,0.045007,1507.989267,0.000128,128,8,4096,1566.2,3.7166858000255454,1,0,0
532,18027908.0,99982900.0,481435.0,48202980.21,47335950.0,28843572.57,99501465.0,99985300.0,41796.2,50741098.27,50363450.0,27402465.77,99943503.8,0.000668,0.949979,0.939887,0.374,0.38085,0.625023,1.05259,-0.001949,16526.68949,0.000115,128,8,4096,41796.2,60.45887068680885,1,0,3
400,11827641557.0,6262120000.0,1.80999,3970011721.0,4819715000.0,2034293657.0,6262119998.0,6627970000.0,2.28298,4021087870.0,4838295000.0,2062098427.0,6627969998.0,0.007354,0.987298,0.99616,2.979246,2.454013,5.814127,0.986516,0.947889,8199726511.0,8.3e-05,128,8,4096,8314740000.0,1.3832481713198488,1,0,0
