tsp_file,ram_gb,cpu_cores,solution_time_ms,peak_memory_kb,edge_distance_min,edge_distance_max,edge_distance_mean,edge_distance_median,edge_distance_stddev,edge_distance_prop_below_mean,edge_distance_frac_distinct,expected_random_tour_length,edge_cost_mode_count,edge_cost_mode_peak_freq,edge_cost_mode_mean,cluster_count_eps0.01,cluster_mean_dist_centroid_eps0.01,cluster_count_eps0.05,cluster_mean_dist_centroid_eps0.05,cluster_count_eps0.1,cluster_mean_dist_centroid_eps0.1,nnd_min_rel,nnd_max_rel,nnd_mean_rel,nnd_median_rel,nnd_stddev_rel,nnd_cv_rel,centroid_x,centroid_y,centroid_dist_min,centroid_dist_mean,centroid_dist_max,mst_depth_min,mst_depth_max,mst_depth_mean,mst_depth_median,mst_depth_stddev,mst_edge_min,mst_edge_max,mst_edge_mean,mst_edge_median,mst_edge_stddev,mst_total_length_norm,angle_min,angle_max,angle_mean,angle_median,angle_stddev,convex_hull_area,convex_hull_frac_nodes,optimality_gap
d657.tsp,8,32,16.416,4096,17.9605,4770.84,1301.33,1263.56,644.644,0.521346,0.596805,854973.0,1,52,457.905,55,28.0949,1,949.9,1,949.9,0.00376464,0.27597,0.0106347,0.00892395,0.0117708,1.10683,2275.28,1936.96,40.0212,952.833,2988.1,0,96,49.0654,51.0,20.8599,17.9605,1316.61,64.7723,57.1,58.8039,0.000151519,0.0,3.14159,1.60036,1.57185,0.955844,8518270.0,0.0152207,10.16996185
Tnm160.tsp,8,32,0.969,4096,9999.78,440000.0,220905.0,226408.0,108373.0,0.489151,0.29316,35344800.0,1,84,40000.0,0,0.0,1,176523.0,1,166088.0,0.0227268,0.0577354,0.0283187,0.0227268,0.0127289,0.449488,220000.0,127017.0,0.08125,166088.0,254034.0,0,96,38.1875,35.0,26.8462,9999.78,25404.0,12475.8,10000.0,5615.01,0.00070595,1.04718,3.14159,3.031,3.14159,0.425672,83831400000.0,0.04375,7.166757495
Tnm70.tsp,8,32,0.192,4096,7330.78,170000.0,84009.6,85440.0,40542.5,0.489441,0.349068,5880670.0,1,30,40000.0,0,0.0,3,4731.21,1,62028.5,0.0431222,0.0824803,0.0622108,0.0588222,0.0122575,0.197032,85000.0,49074.8,0.185714,62028.5,98149.6,0,31,13.8714,14.5,8.47318,7330.78,14022.0,10700.4,10000.0,1983.86,0.00363916,0.820255,3.14159,2.78055,3.14157,0.777712,12514100000.0,0.1,14.09805809
Tnm928.tsp,8,32,31.835,8192,9999.78,2740000.0,1388830.0,1430910.0,690372.0,0.480778,0.259453,1288830000.0,1,536,40000.0,1,1093300.0,1,1056480.0,1,1056480.0,0.00364955,0.0160376,0.00503874,0.00364955,0.00389636,0.77328,1370000.0,790970.0,0.128233,1056480.0,1581940.0,0,544,223.776,214.0,147.953,9999.78,43943.5,13810.4,10000.0,10681.1,2.14e-05,1.04712,3.14159,3.12184,3.14159,0.177868,3250890000000.0,0.00969828,0.672828145
Tnm127.tsp,8,32,0.611,8192,9999.78,340000.0,170090.0,173493.0,83139.6,0.490064,0.309961,21601400.0,1,64,40000.0,0,0.0,1,136620.0,1,127379.0,0.0294111,0.0641499,0.0354958,0.0294111,0.0131748,0.371166,170000.0,98149.6,0.370079,127379.0,196299.0,0,72,28.8189,27.0,19.8308,9999.78,21811.4,12085.1,10000.0,4493.49,0.00111892,1.04712,3.14159,2.99795,3.14159,0.462334,50056400000.0,0.0393701,10.825592
bcl380.tsp,8,32,5.718,8192,1.0,175.559,67.3345,64.405,33.9468,0.530524,0.0806277,25587.1,1,133,26.9258,11,0.820825,5,42.0187,1,49.4674,0.00569609,0.085631,0.0160631,0.0127368,0.0120675,0.751256,43.5553,82.0105,2.55528,49.4674,89.9818,0,133,64.4184,68.0,34.8232,1.0,15.0333,3.88811,3.0,2.50107,0.000303911,0.0,3.14159,1.778,2.00507,1.10851,15362.5,0.0368421,20.96346036
kroB100.tsp,8,32,0.414,8192,26.0,4167.26,1687.55,1550.56,912.994,0.555556,0.997778,168755.0,11,2,1325.72,0,0.0,14,126.448,1,1230.83,0.00623912,0.110646,0.0343818,0.0321114,0.0197417,0.57419,2160.91,1044.05,173.901,1242.33,2310.21,0,29,16.19,17.0,7.89412,26.0,461.091,194.515,188.939,96.9435,0.00230529,0.0219524,3.08918,1.43855,1.32464,0.922773,7272910.0,0.13,31.69028418
Tnm79.tsp,8,32,0.242,8192,7107.75,190000.0,93699.3,95394.3,45430.3,0.488802,0.346965,7402240.0,1,34,40000.0,0,0.0,3,4639.91,1,69253.8,0.0374092,0.0721686,0.0555956,0.0526304,0.0105268,0.189346,95000.0,54848.3,0.291139,69253.8,109697.0,0,42,18.0127,16.0,12.2887,7107.75,13712.1,10681.7,10000.0,1892.37,0.00288608,0.790567,3.14159,2.8367,3.14159,0.715413,15631800000.0,0.0886076,8.958820181
Tnm220.tsp,8,32,1.817,8192,9999.78,620000.0,312288.0,320000.0,153839.0,0.486177,0.282607,68703400.0,1,120,40000.0,0,0.0,1,235712.0,1,235712.0,0.0161287,0.0481129,0.0207562,0.0161287,0.0111517,0.537271,310000.0,178979.0,0.413636,235712.0,357957.0,0,129,52.6091,49.5,35.7098,9999.78,29830.4,12882.1,10000.0,6927.19,0.000375006,1.04712,3.14159,3.06333,3.14159,0.349984,166450000000.0,0.0227273,8.496171158
Tnm760.tsp,8,32,21.56,8192,9999.78,2240000.0,1135140.0,1170000.0,563903.0,0.481246,0.260769,862707000.0,1,438,40000.0,1,894061.0,1,863155.0,1,863155.0,0.00446419,0.0192451,0.00613797,0.00446419,0.00466574,0.760144,1120000.0,646632.0,0.306579,863155.0,1293260.0,0,448,184.147,175.5,122.035,9999.78,43109.7,13754.2,10000.0,10457.3,3.19e-05,1.04718,3.14159,3.11499,3.14159,0.215909,2172690000000.0,0.0144737,1.15518459
pr144.tsp,8,32,0.781,8192,100.0,12691.7,5639.51,5450.06,2813.57,0.512918,0.362956,812090.0,4,72,4754.66,12,186.842,16,378.48,14,561.9,0.00787919,0.0236376,0.01018,0.00787919,0.00431416,0.423787,9864.58,6611.81,1546.49,4178.24,6381.08,0,56,29.3056,29.5,15.0423,100.0,2493.62,345.905,100.0,535.023,0.000851889,0.0,3.14159,1.93731,1.89949,1.29445,86227500.0,0.0694444,4.787037145
Tnm73.tsp,8,32,0.207,8192,6165.76,170000.0,83478.0,84834.5,40439.4,0.497717,0.357306,6093900.0,1,30,40000.0,0,0.0,3,4230.2,1,61496.1,0.0362692,0.0721706,0.0595155,0.0588222,0.0104922,0.176294,85000.0,49074.8,0.205479,61496.1,98149.6,0,31,13.9589,15.0,8.39715,6165.76,12269.0,10279.2,10000.0,1593.93,0.00337359,0.625107,3.14159,2.80608,3.14159,0.760581,12514100000.0,0.0958904,12.58294656
Tnm82.tsp,8,32,0.272,8624,7637.56,200000.0,98816.7,100000.0,47934.2,0.491418,0.299609,8102970.0,1,36,40000.0,0,0.0,10,29156.1,1,73144.2,0.0381878,0.07217,0.0538396,0.0499989,0.0107633,0.199913,100000.0,57735.1,0.0853659,73144.2,115470.0,0,37,16.3415,17.0,10.0471,7637.56,14434.0,10865.0,10000.0,2080.78,0.00268174,0.857079,3.14159,2.83158,3.14159,0.731305,17320600000.0,0.0853659,11.9804011
Tnm805.tsp,8,32,24.082,8624,9999.78,2370000.0,1200790.0,1238470.0,596638.0,0.481821,0.278999,966640000.0,1,464,40000.0,1,945867.0,1,913043.0,1,913043.0,0.00421932,0.0180422,0.00580014,0.00421932,0.00438328,0.75572,1185000.0,684160.0,0.0653563,913043.0,1368320.0,0,498,202.406,186.0,138.761,9999.78,42760.7,13751.1,10000.0,10394.0,2.85e-05,1.04718,3.14159,3.12179,3.14159,0.182202,2432190000000.0,0.0136646,0.93571537
Tnm700.tsp,8,32,18.156,8624,9999.78,2060000.0,1043700.0,1075550.0,518322.0,0.481606,0.261529,730592000.0,1,402,40000.0,1,820756.0,1,793422.0,1,793422.0,0.00485426,0.0206197,0.00665739,0.00485426,0.00499672,0.750552,1030000.0,594671.0,0.218571,793422.0,1189340.0,0,409,170.957,165.5,110.316,9999.78,42477.1,13719.7,10000.0,10299.7,3.76e-05,1.04718,3.14159,3.11893,3.14159,0.194839,1837530000000.0,0.0157143,0.921573968
ch130.tsp,8,32,0.748,8624,0.660181,938.842,356.224,348.124,169.992,0.516995,1.0,46309.1,1,2,349.555,0,0.0,21,28.8661,1,257.923,0.000703186,0.0806035,0.0306569,0.0310657,0.0171838,0.56052,348.42,329.942,22.2106,259.964,473.477,0,38,20.5846,18.0,10.7968,0.660181,120.991,40.0314,37.2938,21.0416,0.00172888,0.0120449,3.12983,1.39028,1.37157,0.853309,443593.0,0.0769231,23.96756987
gr431.tsp,8,32,6.97,8624,0.04,362.641,67.5755,54.6447,53.7545,0.57192,0.998187,29125.0,12,3,11.1857,18,7.84868,2,46.813,2,47.2234,0.000110302,0.0609215,0.00822942,0.00498751,0.00987436,1.19988,35.7094,46.9752,1.52078,49.9218,229.241,0,103,51.051,46.0,27.279,0.04,104.745,3.71579,2.13772,6.2432,0.000255162,0.0080562,3.13645,1.60965,1.47854,0.862813,33743.7,0.0208817,22.75574183
Tnm55.tsp,8,32,0.123,8624,5150.1,120000.0,58493.2,59864.4,28138.6,0.488889,0.360943,3217130.0,1,24,40000.0,0,0.0,3,3619.49,1,42710.0,0.0429175,0.0833333,0.0764237,0.0824767,0.0149606,0.195759,60000.0,34641.1,0.0545455,42710.0,69282.1,0,23,11.1818,12.0,6.5718,5150.1,10000.6,9421.29,9948.92,1524.84,0.00585696,0.242512,3.14159,2.69553,3.14154,0.946395,6235430000.0,0.127273,14.5932864
berlin52.tsp,8,32,0.111,8624,15.0,1716.05,575.263,525.012,339.977,0.56184,0.92911,29913.7,5,3,252.749,0,0.0,2,98.5743,3,179.475,0.00874101,0.212698,0.059413,0.0454992,0.0467961,0.787641,758.462,564.904,46.5489,386.932,1032.35,0,15,7.0,6.5,4.01468,15.0,365.0,119.248,94.3398,83.7502,0.00797278,0.0,3.14159,1.24524,1.0578,0.84069,1413490.0,0.153846,19.04085519
Tnm172.tsp,8,32,1.16,8624,9999.78,470000.0,235707.0,240000.0,115786.0,0.486536,0.299742,40541600.0,1,90,40000.0,0,0.0,1,188526.0,1,177198.0,0.0212761,0.0524872,0.0264463,0.0212761,0.0115354,0.436182,235000.0,135677.0,0.337209,177198.0,271355.0,0,94,39.1163,38.5,25.3859,9999.78,24669.0,12444.1,10000.0,5434.39,0.000613894,1.04718,3.14159,3.01597,3.14159,0.459466,95652700000.0,0.0406977,6.306729165
st70.tsp,8,32,0.21,8624,1.0,128.725,52.2712,52.2015,24.3766,0.500621,0.584265,3658.98,2,8,38.6714,0,0.0,4,3.99294,6,18.7397,0.00776853,0.153022,0.0488232,0.0472541,0.0234952,0.481231,52.6571,51.2714,9.84696,38.3279,65.4249,0,26,11.6,12.0,6.86812,1.0,19.6977,8.2059,8.24621,3.53296,0.00448534,0.120624,3.06482,1.4587,1.42533,0.793533,8470.0,0.142857,18.96783355
