tsp_file,ram_gb,cpu_cores,solution_time_ms,peak_memory_kb,edge_distance_min,edge_distance_max,edge_distance_mean,edge_distance_median,edge_distance_stddev,edge_distance_prop_below_mean,edge_distance_frac_distinct,expected_random_tour_length,edge_cost_mode_count,edge_cost_mode_peak_freq,edge_cost_mode_mean,cluster_count_eps0.01,cluster_mean_dist_centroid_eps0.01,cluster_count_eps0.05,cluster_mean_dist_centroid_eps0.05,cluster_count_eps0.1,cluster_mean_dist_centroid_eps0.1,nnd_min_rel,nnd_max_rel,nnd_mean_rel,nnd_median_rel,nnd_stddev_rel,nnd_cv_rel,centroid_x,centroid_y,centroid_dist_min,centroid_dist_mean,centroid_dist_max,mst_depth_min,mst_depth_max,mst_depth_mean,mst_depth_median,mst_depth_stddev,mst_edge_min,mst_edge_max,mst_edge_mean,mst_edge_median,mst_edge_stddev,mst_total_length_norm,angle_min,angle_max,angle_mean,angle_median,angle_stddev,convex_hull_area,convex_hull_frac_nodes,optimality_gap
Tnm100.tsp,8,32,317.9404736,96256,9999.78,260000.0,129588.0,131248.0,63047.3,0.480606,0.315556,12958800.0,1,48,40000.0,0,0.0,1,104671.0,1,96604.9,0.0384606,0.0721691,0.0448774,0.0384606,0.0132845,0.296017,130000.0,75055.6,0.4,96604.9,150111.0,0,48,20.47,21.0,12.7655,9999.78,18764.0,11685.1,10000.0,3467.38,0.00180342,1.04712,3.14159,2.9759,3.14159,0.501683,29271800000.0,0.05,0.332797518
Tnm1000.tsp,8,32,42364.02225,145408,9999.78,2960000.0,1500890.0,1548510.0,746237.0,0.481351,0.258268,1500890000.0,1,580,40000.0,1,1180960.0,1,1142090.0,1,1142090.0,0.0033783,0.0151936,0.00467884,0.0033783,0.00368667,0.787945,1480000.0,854478.0,0.401,1142090.0,1708960.0,0,589,243.966,234.0,159.755,9999.78,44973.5,13853.4,10000.0,10917.4,1.85e-05,1.04718,3.14159,3.1251,3.14159,0.166451,3793890000000.0,0.011,1.354726696
Tnm115.tsp,8,32,478.8384438,118516,9999.78,300000.0,149533.0,151327.0,72992.5,0.48833,0.301602,17196300.0,1,56,40000.0,0,0.0,1,120684.0,1,111654.0,0.0333326,0.0641501,0.0392441,0.0333326,0.0121665,0.310022,150000.0,86602.6,0.365217,111654.0,173205.0,0,64,25.5478,24.0,17.5715,9999.78,19245.5,11788.9,10000.0,3662.27,0.0013711,1.04712,3.14159,2.99507,3.14159,0.471842,38971300000.0,0.0434783,0.169070589
Tnm121.tsp,8,32,578.813076,118516,9999.78,320000.0,159809.0,162099.0,78062.0,0.48595,0.313085,19336800.0,1,60,40000.0,0,0.0,1,128652.0,1,119511.0,0.0312493,0.0641506,0.0372702,0.0312493,0.012726,0.341452,160000.0,92376.1,0.0661157,119511.0,184752.0,0,61,25.7603,26.0,16.246,9999.78,20528.2,11942.7,10000.0,4085.56,0.00123522,1.04718,3.14159,3.01368,3.14159,0.450911,44340600000.0,0.0578512,0.283168947
Tnm127.tsp,8,32,679.4772148,118516,9999.78,340000.0,170090.0,173493.0,83139.6,0.490064,0.309961,21601400.0,1,64,40000.0,0,0.0,1,136620.0,1,127379.0,0.0294111,0.0641499,0.0354958,0.0294111,0.0131748,0.371166,170000.0,98149.6,0.370079,127379.0,196299.0,0,72,28.8189,27.0,19.8308,9999.78,21811.4,12085.1,10000.0,4493.49,0.00111892,1.04712,3.14159,2.99795,3.14159,0.462334,50056400000.0,0.0393701,0.576898206
Tnm130.tsp,8,32,239.2067909,118516,9999.78,350000.0,175232.0,179789.0,85681.1,0.48873,0.307692,22780200.0,1,66,40000.0,0,0.0,1,140604.0,1,131317.0,0.0285708,0.0641486,0.0346736,0.0285708,0.0133652,0.385458,175000.0,101036.0,0.330769,131317.0,202073.0,0,70,29.5846,29.5,18.8535,9999.78,22453.4,12152.5,10000.0,4692.35,0.00106693,1.04718,3.14159,2.98276,3.14159,0.508934,53044200000.0,0.0538462,0.197590457
Tnm136.tsp,8,32,278.4392834,118516,9999.78,360000.0,179757.0,182636.0,88016.2,0.483987,0.287364,24447000.0,1,68,40000.0,0,0.0,1,144650.0,1,134565.0,0.0277772,0.0577361,0.0333199,0.0277772,0.0116319,0.349098,180000.0,103923.0,0.0808824,134565.0,207846.0,0,69,29.0662,29.5,18.4026,9999.78,20785.0,12010.1,10000.0,4199.55,0.000982542,1.04718,3.14159,3.02677,3.14159,0.428288,56118600000.0,0.0514706,0.100174779
Tnm154.tsp,8,32,605.0081253,118516,9999.78,420000.0,210613.0,216259.0,103276.0,0.489941,0.278839,32434400.0,1,80,40000.0,0,0.0,1,168554.0,1,158197.0,0.023809,0.0577357,0.0294169,0.023809,0.0125271,0.425845,210000.0,121244.0,0.435065,158197.0,242487.0,0,80,33.3831,33.5,21.3964,9999.78,24249.0,12370.7,10000.0,5275.21,0.000762813,1.04712,3.14159,3.01597,3.14159,0.438285,76383600000.0,0.0324675,0.036694442
Tnm157.tsp,8,32,1205.610037,118516,9999.78,430000.0,215759.0,220000.0,105824.0,0.484811,0.298546,33874100.0,1,82,40000.0,0,0.0,1,172538.0,1,162142.0,0.0232553,0.057735,0.0288571,0.0232553,0.0126329,0.437776,215000.0,124130.0,0.312102,162142.0,248261.0,0,86,35.3758,34.0,23.3887,9999.78,24826.0,12424.1,10000.0,5446.15,0.000733546,1.04718,3.14159,3.00358,3.14159,0.480245,80064200000.0,0.044586,0.057898927
Tnm166.tsp,8,32,464.2150402,118516,9999.78,450000.0,225417.0,230000.0,110691.0,0.486528,0.296897,37419300.0,1,86,40000.0,0,0.0,1,180558.0,1,169311.0,0.0222217,0.0524867,0.0273996,0.0222217,0.0113468,0.414123,225000.0,129904.0,0.180723,169311.0,259808.0,0,87,36.1325,36.0,23.3281,9999.78,23619.5,12344.1,10000.0,5118.41,0.000659773,1.04718,3.14159,3.03925,3.14159,0.406569,87685200000.0,0.0421687,0.167667491
