Solver,Dataset,Accuracy,Precision,Recall,F1-Score
ga2,solution_time,0.975609756097561,0.9333333333333333,0.9777777777777779,0.9482352941176471
ga2,solution_time,0.975,0.9666666666666668,0.9666666666666668,0.9636363636363636
ga2,optimality_gap,0.8797909407665505,0.2088803088803089,0.3806451612903226,0.21402726146220571
ga2,optimality_gap,0.8910714285714286,0.2970238095238095,0.3333333333333333,0.31413282971356626
ga2,peak_memory,0.9930313588850174,0.9230769230769231,0.9963768115942029,0.9565151515151515
ga2,peak_memory,0.9910714285714286,0.9038461538461539,0.9953617810760668,0.9444785945152783
greedy2,solution_time,0.9477351916376306,0.959018759018759,0.9461250897961918,0.9497492361560106
greedy2,solution_time,0.9214285714285714,0.7488633205874585,0.7345806451612903,0.7371424575268273
greedy2,optimality_gap,0.8780487804878049,0.4797297297297297,0.5761904761904761,0.5027777777777778
greedy2,optimality_gap,0.8,0.48125,0.3833333333333333,0.3844496487119438
bb2,solution_time,0.6925925925925925,0.3968526817688829,0.5173755907700862,0.41384307033937323
bb2,solution_time,0.7862595419847328,0.6090310357271743,0.5452122071646182,0.5670793650793651
bb2,optimality_gap,0.8962962962962963,0.25,0.2429718875502008,0.24643584521384929
bb2,optimality_gap,0.8740458015267175,0.5875,0.41666666666666663,0.4603658536585366
bb2,peak_memory,0.8425925925925926,0.6335833618266089,0.6579165467280752,0.6451534507090062
bb2,peak_memory,0.8129770992366412,0.8142779333955805,0.788968251083405,0.7994979179260918
or2,solution_time,0.95,0.3195195195195195,0.3333333333333333,0.32628028212204846
or2,solution_time,0.972972972972973,0.4864864864864865,0.5,0.4931506849315068
or2,optimality_gap,0.85,0.19428571428571428,0.1837837837837838,0.18888888888888888
or2,optimality_gap,0.8108108108108109,0.2890625,0.3588709677419355,0.3134920634920635
or2,peak_memory,0.6910714285714286,0.4825772963213722,0.4497031172686789,0.3695359611149085
or2,peak_memory,0.6544401544401545,0.35536857508688496,0.31466666666666665,0.32253246514365597
gurobi2,solution_time,0.9961089494163424,0.5,0.4980544747081712,0.49902534113060426
gurobi2,solution_time,0.9455645161290323,0.4727822580645161,0.5,0.48601036269430054
gurobi2,peak_memory,0.4474708171206226,0.4319307307120672,0.4265077234187392,0.4247014294270187
gurobi2,peak_memory,0.4032258064516129,0.32673850562443196,0.33965926234272165,0.32152793369248533
dp2,solution_time,0.7073170731707317,0.6472150072150071,0.683915585308351,0.6563427911954942
dp2,solution_time,0.8428571428571429,0.8511904761904763,0.8519695963774406,0.8436600693800298
dp2,optimality_gap,0.8536585365853658,0.30701754385964913,0.3153153153153153,0.3111111111111111
dp2,optimality_gap,0.825,0.4722222222222222,0.35357142857142854,0.392018779342723
dp2,peak_memory,0.34494773519163763,0.35482142857142857,0.34847314473949276,0.2853043435502048
dp2,peak_memory,0.39464285714285713,0.346031746031746,0.4006873849046169,0.345441436722237
