Solver,Dataset,Accuracy,Precision,Recall,F1-Score
ga2,solution_time (Test) - 50e,0.9721254355400697,0.9835416666666668,0.9690476190476189,0.9754255855449353
ga2,solution_time (Val)  - 50e,0.925,0.85,0.9,0.8133333333333332
ga2,solution_time (Test) - 100e,0.9512195121951219,0.9666666666666668,0.9333333333333332,0.9453100517410468
ga2,solution_time (Val)  - 100e,0.925,0.8333333333333334,0.9,0.8151515151515152
ga2,optimality_gap (Test) - 50e,0.9059233449477352,0.24344569288389514,0.23297491039426524,0.23809523809523808
ga2,optimality_gap (Val)  - 50e,0.8660714285714286,0.22791353383458646,0.24298597194388777,0.23520853540252182
ga2,optimality_gap (Test) - 100e,0.9425087108013938,0.19460431654676258,0.1939068100358423,0.19425493716337522
ga2,optimality_gap (Val)  - 100e,0.8660714285714286,0.22579143389199255,0.24298597194388777,0.23407335907335908
ga2,peak_memory (Test) - 50e,0.9616724738675958,0.4808362369337979,0.5,0.49023090586145646
ga2,peak_memory (Val)  - 50e,0.9625,0.48125,0.5,0.49044585987261147
ga2,peak_memory (Test) - 100e,0.9616724738675958,0.4808362369337979,0.5,0.49023090586145646
ga2,peak_memory (Val)  - 100e,0.9625,0.48125,0.5,0.49044585987261147
greedy2,solution_time (Test) - 50e,0.8623693379790941,0.7370348560920681,0.7423419715390169,0.7346009084498062
greedy2,solution_time (Val)  - 50e,0.8482142857142857,0.7275246076084065,0.8602799915665191,0.6989219264368294
greedy2,solution_time (Test) - 100e,0.8710801393728222,0.8185528865376928,0.8126346739243914,0.8108627286723792
greedy2,solution_time (Val)  - 100e,0.8678571428571429,0.7380404843807825,0.8829728020240355,0.7234845120798468
greedy2,optimality_gap (Test) - 50e,0.8292682926829268,0.2833333333333333,0.2552380952380952,0.26591549295774647
greedy2,optimality_gap (Val)  - 50e,0.75,0.44623911322248616,0.35287356321839075,0.38282950423216444
greedy2,optimality_gap (Test) - 100e,0.8240418118466899,0.2685750078296273,0.2540136054421769,0.2593988959313024
greedy2,optimality_gap (Val)  - 100e,0.7535714285714286,0.42837243401759534,0.3623973727422003,0.3835838311071472
bb2,solution_time (Test) - 50e,0.85,0.8180917382518395,0.7104787615410503,0.7150011622510165
bb2,solution_time (Val)  - 50e,0.8129770992366412,0.6349206349206349,0.5302815421788003,0.5638983255050702
bb2,solution_time (Test) - 100e,0.7907407407407407,0.45185071939390853,0.5021777407098508,0.47183005673571704
bb2,solution_time (Val)  - 100e,0.7862595419847328,0.6103823088455772,0.4842289105998529,0.5055173584585348
