Solver,Dataset,Accuracy,Precision,Recall,F1-Score
or_min,solution_time,0.975,0.5,0.4875,0.4936708860759494
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,optimality_gap,1.0,1.0,1.0,1.0
or_min,optimality_gap,0.95,0.736842105263158,0.736842105263158,0.736842105263158
or_min,peak_memory,0.8803571428571428,0.5054495337807059,0.5548288935448469,0.5261291158205736
or_min,peak_memory,0.9482142857142857,0.5361525200283946,0.5725190839694657,0.5526366251198466
gurobi_min,solution_time,0.8214285714285714,0.5181818181818182,0.5180020544427325,0.5168915187376726
gurobi_min,solution_time,0.825,0.4529439540881188,0.4075264627573219,0.42473337211557105
gurobi_min,peak_memory,0.29642857142857143,0.2979756757903516,0.3255686054659097,0.29349079208863016
gurobi_min,peak_memory,0.325,0.2860727411647657,0.2815934153198699,0.270398240766851
greedy_min,solution_time,0.9964285714285714,0.9968253968253968,0.9866666666666667,0.9915034482758621
greedy_min,solution_time,0.9678571428571429,0.9558051055473736,0.9704492566257272,0.9612296245285814
greedy_min,optimality_gap,0.575,0.23958333333333334,0.24731182795698925,0.24338624338624337
greedy_min,optimality_gap,0.725,0.3300653594771242,0.3494949494949495,0.33921302578018997
ga_min,solution_time,0.9875,0.9857142857142858,0.9777777777777779,0.9808278867102397
ga_min,solution_time,0.9642857142857143,0.9584451324389404,0.9492063492063492,0.9533333333333334
ga_min,peak_memory,1.0,1.0,1.0,1.0
ga_min,peak_memory,1.0,1.0,1.0,1.0
dp_min,solution_time,0.7464285714285714,0.5944605265743138,0.6482177181463508,0.6105607456556508
dp_min,solution_time,0.5767857142857142,0.6440442148263846,0.648801505901506,0.6416536922197299
dp_min,optimality_gap,1.0,1.0,1.0,1.0
dp_min,optimality_gap,0.95,0.736842105263158,0.736842105263158,0.736842105263158
dp_min,peak_memory,1.0,1.0,1.0,1.0
dp_min,peak_memory,1.0,1.0,1.0,1.0
bb_min,solution_time,0.9839285714285714,0.9865873015873016,0.9535353535353537,0.9670696127712931
bb_min,solution_time,0.9696428571428571,0.945054945054945,0.9597312424098421,0.9509795293367546
bb_min,optimality_gap,0.925,0.793939393939394,0.8606060606060606,0.7606060606060605
bb_min,optimality_gap,0.775,0.5666666666666667,0.6077777777777778,0.5225210084033612
