Solver,Dataset,Accuracy,Precision,Recall,F1-Score
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,optimality_gap,1.0,1.0,1.0,1.0
or_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
or_min,peak_memory,0.9178571428571428,0.3059523809523809,0.3333333333333333,0.319056486654252
or_min,peak_memory,0.9107142857142857,0.31135531135531136,0.3244274809160305,0.3177570093457944
gurobi_min,solution_time,0.7964285714285714,0.4639189008936908,0.466050333846944,0.46498113797931323
gurobi_min,solution_time,0.8553571428571428,0.5261904761904762,0.45703454769790247,0.4827694827694828
gurobi_min,peak_memory,0.2839285714285714,0.18928791805504136,0.18501659554291133,0.17229669260700392
gurobi_min,peak_memory,0.29464285714285715,0.36419533162339107,0.23671668667232582,0.20787398312827285
greedy_min,solution_time,0.9446428571428571,0.8899034482758621,0.9650537634408602,0.910227887464219
greedy_min,solution_time,0.7410714285714286,0.7734748793134276,0.7601753196588203,0.7415374677311692
greedy_min,optimality_gap,0.775,0.25833333333333336,0.3333333333333333,0.29107981220657275
greedy_min,optimality_gap,0.8,0.2735042735042735,0.32323232323232326,0.2962962962962963
ga_min,solution_time,0.8125,0.6958333333333333,0.785873015873016,0.7079659234831648
ga_min,solution_time,0.6375,0.655,0.6507936507936508,0.648185979491575
ga_min,peak_memory,0.9285714285714286,0.4642857142857143,0.5,0.48148148148148145
ga_min,peak_memory,0.9285714285714286,0.4642857142857143,0.5,0.48148148148148145
dp_min,solution_time,0.7446428571428572,0.6283514520847828,0.682891802973338,0.6206246315544024
dp_min,solution_time,0.6589285714285714,0.7015857186055817,0.7171267806267806,0.6757721021521361
dp_min,optimality_gap,1.0,1.0,1.0,1.0
dp_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
dp_min,peak_memory,0.9285714285714286,0.6410256410256411,0.6666666666666666,0.6533333333333333
dp_min,peak_memory,0.9285714285714286,0.6410256410256411,0.6666666666666666,0.6533333333333333
bb_min,solution_time,0.9089285714285714,0.8182539682539683,0.909734855388218,0.8458546265200987
bb_min,solution_time,0.7196428571428571,0.7142857142857142,0.7320740271397644,0.6927708077658141
bb_min,optimality_gap,0.85,0.42857142857142855,0.49393939393939396,0.3802564102564102
bb_min,optimality_gap,0.675,0.21595441595441595,0.2851851851851852,0.23224400871459694
