Solver,Dataset,Accuracy,Precision,Recall,F1-Score
or_min,solution_time (Test) - 50e,0.975,0.5,0.4875,0.4936708860759494
or_min,solution_time (Val)  - 50e,0.975,0.5,0.4875,0.4936708860759494
or_min,solution_time (Test) - 100e,0.975,0.5,0.4875,0.4936708860759494
or_min,solution_time (Val)  - 100e,0.975,0.5,0.4875,0.4936708860759494
or_min,optimality_gap (Test) - 50e,0.9946428571428572,0.5,0.4973214285714286,0.4986571172784244
or_min,optimality_gap (Val)  - 50e,0.95,0.475,0.5,0.48717948717948717
or_min,optimality_gap (Test) - 100e,0.975,0.5,0.4875,0.4936708860759494
or_min,optimality_gap (Val)  - 100e,0.95,0.475,0.5,0.48717948717948717
or_min,peak_memory (Test) - 50e,0.9107142857142857,0.6401446654611211,0.3429113040007982,0.34271697501938053
or_min,peak_memory (Val)  - 50e,0.9392857142857143,0.731280193236715,0.45642493638676845,0.4802079030703566
or_min,peak_memory (Test) - 100e,0.9071428571428571,0.40190476190476193,0.3537862915294822,0.3574466469203312
or_min,peak_memory (Val)  - 100e,0.9321428571428572,0.5626984126984127,0.4930025445292621,0.5040372670807454
gurobi_min,solution_time (Test) - 50e,0.7035714285714286,0.3584616924815149,0.3563687724704674,0.3568663220837134
gurobi_min,solution_time (Val)  - 50e,0.8375,0.5108412615286142,0.7919751282550815,0.5077561450528788
gurobi_min,solution_time (Test) - 100e,0.6857142857142857,0.3596387465029385,0.35912942989214175,0.359327544167344
gurobi_min,solution_time (Val)  - 100e,0.7892857142857143,0.41313468618888605,0.4246541983245666,0.41802355350742443
gurobi_min,peak_memory (Test) - 50e,0.18571428571428572,0.15993794432997313,0.17737183726914152,0.15093695219040382
gurobi_min,peak_memory (Val)  - 50e,0.35535714285714287,0.3657855954304745,0.33489648923137527,0.32068786716300285
gurobi_min,peak_memory (Test) - 100e,0.26785714285714285,0.23578112342967888,0.2607059984980396,0.23502818204145334
gurobi_min,peak_memory (Val)  - 100e,0.3732142857142857,0.45830402438295315,0.340324893032316,0.33520725901352383
greedy_min,solution_time (Test) - 50e,0.9625,0.92264631043257,0.9433333333333334,0.922966504453741
greedy_min,solution_time (Val)  - 50e,0.8392857142857143,0.819461491094269,0.8683003295126681,0.8297654871754417
greedy_min,solution_time (Test) - 100e,0.9571428571428572,0.9043589743589744,0.9334408602150537,0.9099607420867264
greedy_min,solution_time (Val)  - 100e,0.8553571428571428,0.8081944398312686,0.8791988427641225,0.828338724085072
greedy_min,optimality_gap (Test) - 50e,0.5857142857142857,0.2824418074501251,0.29672299027137733,0.2876446599801609
greedy_min,optimality_gap (Val)  - 50e,0.7392857142857143,0.3368856024358417,0.35526695526695523,0.3458155946209467
greedy_min,optimality_gap (Test) - 100e,0.5928571428571429,0.2824090638044126,0.2997951868919611,0.28898407753547944
greedy_min,optimality_gap (Val)  - 100e,0.725,0.3300653594771242,0.3494949494949495,0.33921302578018997
ga_min,solution_time (Test) - 50e,0.9035714285714286,0.8441489361702128,0.9302747252747252,0.8688178957417468
ga_min,solution_time (Val)  - 50e,0.8357142857142857,0.8445340501792116,0.8439909297052154,0.8348249906177447
ga_min,solution_time (Test) - 100e,0.8982142857142857,0.8502564102564103,0.917519623233909,0.8702261033556772
ga_min,solution_time (Val)  - 100e,0.7857142857142857,0.8056139907556567,0.7902494331065759,0.7846218250991319
ga_min,peak_memory (Test) - 50e,0.9553571428571429,0.8428571428571429,0.8028846153846154,0.8213716108452951
ga_min,peak_memory (Val)  - 50e,0.9464285714285714,0.8101325757575757,0.7519230769230769,0.77735368956743
ga_min,peak_memory (Test) - 100e,0.9678571428571429,0.9633084577114428,0.7865384615384615,0.8508522727272727
ga_min,peak_memory (Val)  - 100e,0.9625,0.9388308638976601,0.760576923076923,0.8233995584988962
dp_min,solution_time (Test) - 50e,0.8160714285714286,0.6448801951402571,0.6909423614611995,0.6612875490091794
dp_min,solution_time (Val)  - 50e,0.7071428571428572,0.7597446695095948,0.7724343304843305,0.7650047202061282
dp_min,solution_time (Test) - 100e,0.8446428571428571,0.7063308596165739,0.6911497622098991,0.6975694970266374
dp_min,solution_time (Val)  - 100e,0.7017857142857142,0.7287351697896709,0.7392434472934474,0.7310981570495632
dp_min,optimality_gap (Test) - 50e,0.9821428571428571,0.5,0.49107142857142855,0.4954954954954955
dp_min,optimality_gap (Val)  - 50e,0.95,0.475,0.5,0.48717948717948717
dp_min,optimality_gap (Test) - 100e,1.0,1.0,1.0,1.0
dp_min,optimality_gap (Val)  - 100e,0.95,0.475,0.5,0.48717948717948717
dp_min,peak_memory (Test) - 50e,1.0,1.0,1.0,1.0
dp_min,peak_memory (Val)  - 50e,0.9946428571428572,0.9979296066252589,0.975,0.9861951605711218
dp_min,peak_memory (Test) - 100e,1.0,1.0,1.0,1.0
dp_min,peak_memory (Val)  - 100e,0.9946428571428572,0.9979296066252589,0.975,0.9861951605711218
bb_min,solution_time (Test) - 50e,0.9410714285714286,0.9078029646607224,0.8985500162919517,0.8847231754116722
bb_min,solution_time (Val)  - 50e,0.8410714285714286,0.8319013112491375,0.8559929246528328,0.8335813007319359
bb_min,solution_time (Test) - 100e,0.9357142857142857,0.9023656262959557,0.8712772890192244,0.8547848307898083
bb_min,solution_time (Val)  - 100e,0.8196428571428571,0.8205215419501135,0.8335630181107767,0.8142393013973379
bb_min,optimality_gap (Test) - 50e,0.8875,0.5170472927966505,0.7439393939393939,0.5784341505025405
bb_min,optimality_gap (Val)  - 50e,0.65,0.2009852216748768,0.23518518518518522,0.21493506493506492
bb_min,optimality_gap (Test) - 100e,0.875,0.45,0.693939393939394,0.5102564102564102
