Solver,Dataset,Accuracy,Precision,Recall,F1-Score
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,optimality_gap,1.0,1.0,1.0,1.0
or_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
or_min,peak_memory,0.9392857142857143,0.5659203980099502,0.5602115135189065,0.5625396825396826
or_min,peak_memory,0.9553571428571429,0.41093052899936267,0.4312977099236641,0.42050115175009833
gurobi_min,solution_time,0.7964285714285714,0.4644432498001268,0.45571391884951207,0.45962132536123573
gurobi_min,solution_time,0.8303571428571429,0.44012615394723875,0.41277030976037404,0.42234252790380494
gurobi_min,peak_memory,0.23214285714285715,0.22546127783965297,0.21888297246448724,0.20498301093763543
gurobi_min,peak_memory,0.4392857142857143,0.45780143356169206,0.37553189690921784,0.37379938586915873
greedy_min,solution_time,0.8910714285714286,0.8249707830151929,0.8399231950844854,0.8025713383294569
greedy_min,solution_time,0.8089285714285714,0.6789154574562299,0.6641252936446624,0.6491367131728578
greedy_min,optimality_gap,0.675,0.25,0.2903225806451613,0.26865671641791045
greedy_min,optimality_gap,0.8,0.3903903903903904,0.3797979797979798,0.37857142857142856
ga_min,solution_time,0.8642857142857143,0.8013254786450663,0.8974725274725275,0.8213543305209973
ga_min,solution_time,0.7375,0.7485714285714286,0.7142857142857143,0.7036054421768707
ga_min,peak_memory,1.0,1.0,1.0,1.0
ga_min,peak_memory,1.0,1.0,1.0,1.0
dp_min,solution_time,0.8142857142857143,0.6677746856318285,0.6845104196403083,0.673712584188961
dp_min,solution_time,0.6875,0.731313805120854,0.6951269637769638,0.7106323547895598
dp_min,optimality_gap,1.0,1.0,1.0,1.0
dp_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
dp_min,peak_memory,1.0,1.0,1.0,1.0
dp_min,peak_memory,1.0,1.0,1.0,1.0
bb_min,solution_time,0.8857142857142857,0.8534547152194211,0.8329586184424894,0.7978339040373552
bb_min,solution_time,0.7785714285714286,0.7290160100737543,0.7043904113205556,0.6880749310165029
bb_min,optimality_gap,0.9,0.55,0.793939393939394,0.6102564102564102
bb_min,optimality_gap,0.775,0.6113553113553113,0.5751851851851851,0.5244368210405946
