Solver,Dataset,Accuracy,Precision,Recall,F1-Score
ga2,solution_time,0.975609756097561,0.9333333333333333,0.9777777777777779,0.9482352941176471
ga2,solution_time,0.975,0.9666666666666668,0.9666666666666668,0.9636363636363636
ga2,optimality_gap,0.9721254355400697,0.24303135888501742,0.25,0.24646643109540636
ga2,optimality_gap,0.8910714285714286,0.2970238095238095,0.3333333333333333,0.31413282971356626
ga2,peak_memory,0.9895470383275261,0.9148484848484848,0.9509222661396575,0.9320602856466503
ga2,peak_memory,0.9857142857142858,0.9164315594902228,0.878169449598021,0.8962962962962964
greedy2,solution_time,0.9425087108013938,0.9544841695431563,0.9411425158966178,0.9449953845886438
greedy2,solution_time,0.9196428571428571,0.7477339975798929,0.7325806451612904,0.7353779742964162
greedy2,optimality_gap,0.8292682926829268,0.35416666666666663,0.319047619047619,0.3323943661971831
greedy2,optimality_gap,0.775,0.2705882352941177,0.3,0.2841269841269841
bb2,solution_time,0.8148148148148148,0.784926184926185,0.679937959995903,0.6612375719518576
bb2,solution_time,0.8702290076335878,0.866045066045066,0.8414049094792869,0.8504199467659866
bb2,optimality_gap,0.8740740740740741,0.236,0.23694779116465864,0.23647294589178355
bb2,optimality_gap,0.8282442748091603,0.2949657869012708,0.4930555555555556,0.32999422632794456
bb2,peak_memory,0.8407407407407408,0.6287510303098423,0.6561138696987142,0.6419970226070237
bb2,peak_memory,0.8416030534351145,0.8374679316940745,0.8275578657425919,0.8316064086864893
or2,solution_time,0.95,0.475,0.5,0.48717948717948717
or2,solution_time,0.972972972972973,0.4864864864864865,0.5,0.4931506849315068
or2,optimality_gap,0.925,0.23125,0.25,0.24025974025974026
or2,optimality_gap,0.8648648648648649,0.6203703703703703,0.5,0.5306799336650082
or2,peak_memory,0.7267857142857143,0.44484126984126987,0.34414893617021275,0.3459090909090909
or2,peak_memory,0.6718146718146718,0.29467871485943775,0.2768379281537176,0.24926739926739927
gurobi2,solution_time,1.0,1.0,1.0,1.0
gurobi2,solution_time,0.9455645161290323,0.4727822580645161,0.5,0.48601036269430054
gurobi2,peak_memory,0.4591439688715953,0.4518584876213866,0.40343614613109163,0.39247995261875424
gurobi2,peak_memory,0.40524193548387094,0.3060372728556633,0.30971156752171664,0.30046960354397667
dp2,solution_time,0.759581881533101,0.7462308962627694,0.7558497262923034,0.7445397964137949
dp2,solution_time,0.9053571428571429,0.8862656641604009,0.9086180481078596,0.8851327963402266
dp2,optimality_gap,0.8850174216027874,0.30023640661938533,0.32689832689832693,0.31300061614294516
dp2,optimality_gap,0.9,0.47435897435897434,0.375,0.40315315315315314
dp2,peak_memory,0.3693379790940767,0.34714285714285714,0.39054756719923117,0.3450389709176504
dp2,peak_memory,0.41964285714285715,0.3315934065934066,0.39453702258577633,0.3422295751707148
