Solver,Dataset,Accuracy,Precision,Recall,F1-Score
ga2,solution_time,0.7317073170731707,0.625,0.6293650793650793,0.6192276568747157
ga2,solution_time,0.8,0.6323809523809525,0.7333333333333334,0.6456960408684547
ga2,optimality_gap,0.9721254355400697,0.24303135888501742,0.25,0.24646643109540636
ga2,optimality_gap,0.8910714285714286,0.2970238095238095,0.3333333333333333,0.31413282971356626
ga2,peak_memory,0.9895470383275261,0.9463898916967509,0.9072793148880105,0.9258589511754068
ga2,peak_memory,0.9857142857142858,0.9164315594902228,0.878169449598021,0.8962962962962964
greedy2,solution_time,0.8013937282229965,0.8472453202510483,0.6858822820045349,0.6719723892670716
greedy2,solution_time,0.8589285714285714,0.7096608578918427,0.6769477975908729,0.6863178349693462
greedy2,optimality_gap,0.8048780487804879,0.18333333333333332,0.18857142857142856,0.18591549295774648
greedy2,optimality_gap,0.8,0.5145833333333333,0.36666666666666664,0.4044496487119438
bb2,solution_time,0.7666666666666667,0.7602530541012217,0.6600602841549245,0.6329043409728006
bb2,solution_time,0.8587786259541985,0.6505467571644042,0.6265626641453934,0.6352215833701902
bb2,optimality_gap,0.8740740740740741,0.236,0.23694779116465864,0.23647294589178355
bb2,optimality_gap,0.8282442748091603,0.3375,0.3263888888888889,0.33184472689797323
bb2,peak_memory,0.8481481481481481,0.6277883246321785,0.6597731961235848,0.6432873559722319
bb2,peak_memory,0.8606870229007634,0.8591110932955645,0.843600606895289,0.8507674878167957
or2,solution_time,0.95,0.475,0.5,0.48717948717948717
or2,solution_time,0.972972972972973,0.4864864864864865,0.5,0.4931506849315068
or2,optimality_gap,0.925,0.23125,0.25,0.24025974025974026
or2,optimality_gap,0.8648648648648649,0.6203703703703703,0.5,0.5306799336650082
or2,peak_memory,0.7785714285714286,0.5645683827189274,0.5674666006927265,0.504222403411301
or2,peak_memory,0.7104247104247104,0.31414059325477445,0.3404795321637427,0.3103509381369517
gurobi2,solution_time,1.0,1.0,1.0,1.0
gurobi2,solution_time,0.9455645161290323,0.4727822580645161,0.5,0.48601036269430054
gurobi2,peak_memory,0.4591439688715953,0.4435732976970682,0.4295437397047661,0.4314731689554037
gurobi2,peak_memory,0.46975806451612906,0.3963534862361696,0.40810227297717605,0.3940763630306541
dp2,solution_time,0.6846689895470384,0.6687948080285145,0.6911751656590654,0.6696230832586593
dp2,solution_time,0.7089285714285715,0.7002369392679595,0.6100173637710026,0.6033803538435334
dp2,optimality_gap,0.9024390243902439,0.30833333333333335,0.3333333333333333,0.3203463203463203
dp2,optimality_gap,0.9,0.47435897435897434,0.375,0.40315315315315314
dp2,peak_memory,0.39198606271777003,0.3203968253968254,0.37407993677811235,0.32275778422188567
dp2,peak_memory,0.36428571428571427,0.2942857142857143,0.26805717568045245,0.27286582574461044
