Solver,Dataset,Accuracy,Precision,Recall,F1-Score
ga2,solution_time,1.0,1.0,1.0,1.0
ga2,solution_time,0.925,0.8333333333333334,0.9,0.8151515151515152
ga2,optimality_gap,0.9494773519163763,0.2428698752228164,0.24417562724014336,0.24352100089365505
ga2,optimality_gap,0.9339285714285714,0.6209273182957394,0.5163944911098793,0.5524819484858282
ga2,peak_memory,0.9616724738675958,0.4808362369337979,0.5,0.49023090586145646
ga2,peak_memory,0.9625,0.48125,0.5,0.49044585987261147
greedy2,solution_time,0.9477351916376306,0.959018759018759,0.9461250897961918,0.9497492361560106
greedy2,solution_time,0.9160714285714285,0.7455128205128205,0.7285806451612904,0.7318224731678257
greedy2,optimality_gap,0.8292682926829268,0.3606060606060606,0.3495238095238095,0.3549019607843137
greedy2,optimality_gap,0.75,0.44666666666666666,0.35287356321839075,0.38305084745762713
bb2,solution_time,0.8333333333333334,0.7970588235294117,0.6715684122733858,0.6568659226417979
bb2,solution_time,0.8225190839694656,0.8298879524685976,0.7215919039114752,0.7392239886429595
bb2,optimality_gap,0.8444444444444444,0.23553719008264462,0.2289156626506024,0.23217922606924643
bb2,optimality_gap,0.8015267175572519,0.4839449541284404,0.3194444444444444,0.36002304147465436
bb2,peak_memory,0.6722222222222223,0.5285912479877997,0.46808613989637304,0.47459796878401533
bb2,peak_memory,0.6564885496183206,0.7021994603263954,0.5772509178146924,0.6001709614444231
or2,solution_time,0.95,0.475,0.5,0.48717948717948717
or2,solution_time,0.972972972972973,0.4864864864864865,0.5,0.4931506849315068
or2,optimality_gap,0.875,0.23648648648648649,0.23648648648648649,0.23648648648648649
or2,optimality_gap,0.8648648648648649,0.5666666666666667,0.42943548387096775,0.43755656108597285
or2,peak_memory,0.675,0.358757314607937,0.3194087085601187,0.2979118120053313
or2,peak_memory,0.61003861003861,0.2138520971302428,0.24807017543859647,0.22325344212136666
gurobi2,solution_time,1.0,1.0,1.0,1.0
gurobi2,solution_time,0.9455645161290323,0.4727822580645161,0.5,0.48601036269430054
gurobi2,peak_memory,0.433852140077821,0.357639709392529,0.3662012952034248,0.34589168090528516
gurobi2,peak_memory,0.41935483870967744,0.33981078685758825,0.3416122398328647,0.3105159326009955
dp2,solution_time,0.8571428571428571,0.834035409035409,0.7987441099725638,0.8129541092105829
dp2,solution_time,0.8571428571428571,0.8572871572871573,0.9083192891067873,0.8749381137356143
dp2,optimality_gap,0.9024390243902439,0.45121951219512196,0.5,0.47435897435897434
dp2,optimality_gap,0.9,0.47435897435897434,0.375,0.40315315315315314
dp2,peak_memory,0.3693379790940767,0.22023809523809526,0.2763153075877755,0.24081257822616425
dp2,peak_memory,0.425,0.36809523809523814,0.3902496750248007,0.3660887171836656
