Solver,Target,Models,Weights,MAE,RMSE,R2,Top_K
ga2,solution_time,cb_lr_mlp,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.24680037745559097,0.5293545156843794,0.9679691960413996,3
ga2,solution_time,cb_lr_mlp_dt_rf,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.1568215581287976,0.33112748859919594,0.9874667106672463,5
ga2,solution_time,cb_lr_mlp_dt_rf_svm_cnn,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.18048980891216737,0.36376547223129235,0.9848742282019989,7
ga2,optimality_gap,cb_rf_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",1.472037270941173,2.355727993108097,-0.22265374328051846,3
ga2,optimality_gap,cb_rf_cnn_mlp_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",1.4741993585796302,2.329651060407245,-0.19573502147135824,5
ga2,optimality_gap,cb_rf_cnn_mlp_svm_dt_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",1.5768462089882613,2.3946528459367493,-0.2633925781641122,7
ga2,peak_memory,cb_lr_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",95.29029618545805,291.3103655087457,0.4510737520626493,3
ga2,peak_memory,cb_lr_cnn_mlp_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",91.56518045333644,331.6137052101839,0.28867665201905324,5
ga2,peak_memory,cb_lr_cnn_mlp_svm_dt_rf,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",74.54605095698753,271.67652775135576,0.522573679958135,7
greedy2,solution_time,lr_cb_mlp,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.00465855267611075,0.010996766760600248,0.9772164207769242,3
greedy2,solution_time,lr_cb_mlp_svm_rf,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0038049324228398274,0.008423085930615602,0.9866329865144123,5
greedy2,solution_time,lr_cb_mlp_svm_rf_dt_cnn,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.003447773986904097,0.006894565019420012,0.9910441735968343,7
greedy2,optimality_gap,cb_dt_rf,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",1.3238434006545963,2.4024604815077364,0.05581218453640657,3
greedy2,optimality_gap,cb_dt_rf_cnn_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",1.321270473199529,2.292725977444122,0.14009556297078096,5
greedy2,optimality_gap,cb_dt_rf_cnn_svm_mlp_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",1.3983633083270348,2.341952020085292,0.10277395246987109,7
greedy2,peak_memory,lr_rf_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0,0.0,1.0,3
greedy2,peak_memory,lr_rf_cnn_mlp_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,1.0,5
greedy2,peak_memory,lr_rf_cnn_mlp_svm_dt,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0.0,0.0,1.0,7
bb2,solution_time,cb_dt_rf,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",19.537785977152357,28.315473602923877,0.5611517517893946,3
bb2,solution_time,cb_dt_rf_svm_cnn,"[0.2, 0.2, 0.2, 0.2, 0.2]",17.55838746305005,26.975760059997043,0.6016965307156011,5
bb2,solution_time,cb_dt_rf_svm_cnn_mlp_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",19350.598977097627,32727.848597472115,-586274.3354975346,7
bb2,optimality_gap,cb_rf_dt,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.8723163619303452,1.9179340352541798,-0.02403637351256549,3
bb2,optimality_gap,cb_rf_dt_cnn_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.8627024966892316,1.814871885822374,0.08306194610651574,5
