Solver,Dataset,Accuracy,Precision,Recall,F1-Score
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,optimality_gap,1.0,1.0,1.0,1.0
or_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
or_min,peak_memory,0.9321428571428572,0.5625,0.48458545345704884,0.5118372490773248
or_min,peak_memory,0.9642857142857143,0.5677127509188579,0.5978053435114504,0.5818739709624308
gurobi_min,solution_time,0.7767857142857143,0.43120647468473555,0.40396764252696454,0.4112676056338029
gurobi_min,solution_time,0.8178571428571428,0.4051649305555556,0.37657477758295993,0.3827311050888287
gurobi_min,peak_memory,0.2357142857142857,0.09898201301186375,0.1412138968236529,0.11576989005326448
gurobi_min,peak_memory,0.4035714285714286,0.5100229944618972,0.33299671851649265,0.31849619386013156
greedy_min,solution_time,0.9964285714285714,0.9968253968253968,0.9866666666666667,0.9915034482758621
greedy_min,solution_time,0.9696428571428571,0.9675457875457877,0.9715481577246283,0.9682194847539515
greedy_min,optimality_gap,0.7,0.2522522522522523,0.3010752688172043,0.2745098039215686
greedy_min,optimality_gap,0.825,0.4473684210526316,0.3898989898989899,0.39570757880617036
ga_min,solution_time,0.9875,0.9857142857142858,0.9777777777777779,0.9808278867102397
ga_min,solution_time,0.9625,0.9568181818181818,0.946031746031746,0.9507523939808481
ga_min,peak_memory,1.0,1.0,1.0,1.0
ga_min,peak_memory,1.0,1.0,1.0,1.0
dp_min,solution_time,0.7767857142857143,0.6470169148740577,0.6632619659339614,0.6519317659421724
dp_min,solution_time,0.7714285714285715,0.8359307359307359,0.8155999999999999,0.8113727784402013
dp_min,optimality_gap,1.0,1.0,1.0,1.0
dp_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
dp_min,peak_memory,1.0,1.0,1.0,1.0
dp_min,peak_memory,1.0,1.0,1.0,1.0
bb_min,solution_time,0.9839285714285714,0.9865873015873016,0.9535353535353537,0.9670696127712931
bb_min,solution_time,0.9696428571428571,0.945054945054945,0.9597312424098421,0.9509795293367546
bb_min,optimality_gap,0.9,0.55,0.793939393939394,0.6102564102564102
bb_min,optimality_gap,0.775,0.4333333333333333,0.5851851851851853,0.4856410256410257
