Solver,Dataset,Accuracy,Precision,Recall,F1-Score
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,solution_time,1.0,1.0,1.0,1.0
or_min,optimality_gap,1.0,1.0,1.0,1.0
or_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
or_min,peak_memory,0.9392857142857143,0.5826517967781909,0.5358675047391,0.5550779743208244
or_min,peak_memory,0.9535714285714286,0.5374493927125505,0.5744274809160306,0.5542419266557198
gurobi_min,solution_time,0.7857142857142857,0.43358395989974935,0.3622752953261428,0.35610801059811714
gurobi_min,solution_time,0.8839285714285714,0.5519090519090519,0.4495827651146178,0.4771591887870958
gurobi_min,peak_memory,0.2732142857142857,0.24411314339010515,0.25435354297998714,0.2406036973830706
gurobi_min,peak_memory,0.41785714285714287,0.43367003367003365,0.3722599299426594,0.37269038135672705
greedy_min,solution_time,0.9964285714285714,0.9968253968253968,0.9866666666666667,0.9915034482758621
greedy_min,solution_time,0.8964285714285715,0.8298534798534799,0.9066455137402054,0.8507193270121908
greedy_min,optimality_gap,0.775,0.25833333333333336,0.3333333333333333,0.29107981220657275
greedy_min,optimality_gap,0.825,0.27499999999999997,0.3333333333333333,0.3013698630136986
ga_min,solution_time,0.9875,0.9857142857142858,0.9777777777777779,0.9808278867102397
ga_min,solution_time,0.9375,0.93,0.9404761904761905,0.9345956354300385
ga_min,peak_memory,1.0,1.0,1.0,1.0
ga_min,peak_memory,1.0,1.0,1.0,1.0
dp_min,solution_time,0.8107142857142857,0.6393841167275989,0.6549645835484478,0.6430160705403465
dp_min,solution_time,0.7339285714285714,0.7788302157402208,0.7805334757834759,0.7774769837831677
dp_min,optimality_gap,1.0,1.0,1.0,1.0
dp_min,optimality_gap,0.95,0.475,0.5,0.48717948717948717
dp_min,peak_memory,0.9285714285714286,0.6410256410256411,0.6666666666666666,0.6533333333333333
dp_min,peak_memory,0.9285714285714286,0.6410256410256411,0.6666666666666666,0.6533333333333333
bb_min,solution_time,0.9839285714285714,0.9865873015873016,0.9535353535353537,0.9670696127712931
bb_min,solution_time,0.9196428571428571,0.8950549450549451,0.909731242409842,0.9009795293367546
bb_min,optimality_gap,0.8625,0.3969230769230769,0.6439393939393939,0.45256270447110136
bb_min,optimality_gap,0.7,0.42857142857142855,0.3251851851851852,0.3151515151515151
