Solver,Target,Models,Weights,MAE,RMSE,R2,Top_K
or_min,solution_time,rf_svm_dt,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",4.79120010025492,12.761662754688139,-41.47327233619389,3
or_min,solution_time,rf_svm_dt_cnn_cb,"[0.2, 0.2, 0.2, 0.2, 0.2]",4.411334655107041,15.155806152817611,-58.90447673097631,5
or_min,solution_time,rf_svm_dt_cnn_cb_mlp_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",18347.346861847927,19446.644513788033,-98625800.55174033,7
or_min,optimality_gap,cb_rf_dt,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0037211976601502247,0.007614787832855833,-12.703366677168388,3
or_min,optimality_gap,cb_rf_dt_mlp_cnn,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0049293434656732865,0.01462724356047228,-49.56344434634959,5
or_min,optimality_gap,cb_rf_dt_mlp_cnn_svm_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",129.52200523065616,134.0542645662819,-4246908781.232319,7
or_min,peak_memory,cb_svm_rf,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",22490.16786070228,42527.64198076794,0.07222223718186593,3
or_min,peak_memory,cb_svm_rf_dt_mlp,"[0.2, 0.2, 0.2, 0.2, 0.2]",21988.912616919508,41572.72071460133,0.11341935055730046,5
or_min,peak_memory,cb_svm_rf_dt_mlp_cnn_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",16679919.165484296,17514292.464968365,-157356.17414741142,7
gurobi_min,solution_time,cb_lr_rf,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.018483806485524383,0.024594870095140612,0.5007744369804623,3
gurobi_min,solution_time,cb_lr_rf_dt_mlp,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.018456839987774698,0.024755037789351692,0.494251111934767,5
gurobi_min,solution_time,cb_lr_rf_dt_mlp_svm_cnn,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.018594826928946904,0.024997075803867227,0.48431302328554526,7
gurobi_min,optimality_gap,rf_svm_lr,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0,0.0,1.0,3
gurobi_min,optimality_gap,rf_svm_lr_dt_cnn,"[0.2, 0.2, 0.2, 0.2, 0.2]",2.544490780564956e-06,2.5444907805649565e-06,0.0,5
gurobi_min,optimality_gap,rf_svm_lr_dt_cnn_mlp,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.78686002275208e-06,2.78686002275208e-06,0.0,7
gurobi_min,peak_memory,lr_cb_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",17513.179244448456,21164.926431660148,0.07791797716606774,3
gurobi_min,peak_memory,lr_cb_cnn_dt_mlp,"[0.2, 0.2, 0.2, 0.2, 0.2]",16707.53599468574,20496.071367960587,0.13527646788229242,5
gurobi_min,peak_memory,lr_cb_cnn_dt_mlp_rf_svm,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",17049.143486437963,21032.817724183165,0.08939308318669525,7
greedy_min,solution_time,lr_cb_mlp,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.002947232037333181,0.0040110998729502795,0.9959197587128817,3
greedy_min,solution_time,lr_cb_mlp_cnn_rf,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0027003719998565804,0.003852624895343051,0.9962358029666463,5
